"t0","t1","t1_normalized","tweets_count","indicator"
2018-10-05 20:00:00, 2018-10-05 20:59:58, 2018-10-05 21:00:00, 6115, 0.152
2018-10-05 21:00:00, 2018-10-05 21:59:59, 2018-10-05 22:00:00, 6027, 0.121
2018-10-05 22:00:00, 2018-10-05 22:59:59, 2018-10-05 23:00:00, 6595, 0.158
2018-10-05 23:00:00, 2018-10-05 23:59:56, 2018-10-06 00:00:00, 5013, 0.132
2018-10-06 00:00:00, 2018-10-06 00:59:59, 2018-10-06 01:00:00, 5718, 0.136
2018-10-06 01:00:00, 2018-10-06 01:59:59, 2018-10-06 02:00:00, 5601, 0.136
2018-10-06 02:00:00, 2018-10-06 02:59:59, 2018-10-06 03:00:00, 5462, 0.160
2018-10-06 03:00:00, 2018-10-06 03:59:59, 2018-10-06 04:00:00, 9629, 0.082
2018-10-06 04:00:00, 2018-10-06 04:59:58, 2018-10-06 05:00:00, 8015, 0.097
2018-10-06 05:00:00, 2018-10-06 05:59:59, 2018-10-06 06:00:00, 6367, 0.106
2018-10-06 06:00:00, 2018-10-06 06:59:59, 2018-10-06 07:00:00, 5908, 0.146
2018-10-06 07:00:00, 2018-10-06 07:59:59, 2018-10-06 08:00:00, 7473, 0.132
2018-10-06 08:00:00, 2018-10-06 08:59:58, 2018-10-06 09:00:00, 6530, 0.162
2018-10-06 09:00:00, 2018-10-06 09:59:59, 2018-10-06 10:00:00, 6710, 0.155
2018-10-06 10:00:00, 2018-10-06 10:59:59, 2018-10-06 11:00:00, 6672, 0.156
2018-10-06 11:00:00, 2018-10-06 11:59:58, 2018-10-06 12:00:00, 6899, 0.150
2018-10-06 12:00:00, 2018-10-06 12:59:59, 2018-10-06 13:00:00, 6995, 0.147
2018-10-06 13:00:00, 2018-10-06 13:56:56, 2018-10-06 14:00:00, 7008, 0.154
2018-10-06 14:00:00, 2018-10-06 14:59:57, 2018-10-06 15:00:00, 6974, 0.155
2018-10-06 15:00:00, 2018-10-06 15:59:59, 2018-10-06 16:00:00, 7079, 0.152
2018-10-06 16:00:00, 2018-10-06 16:59:59, 2018-10-06 17:00:00, 7398, 0.135
2018-10-06 17:00:00, 2018-10-06 17:59:59, 2018-10-06 18:00:00, 6966, 0.161
2018-10-06 18:00:00, 2018-10-06 18:59:57, 2018-10-06 19:00:00, 6216, 0.177
2018-10-06 19:00:00, 2018-10-06 19:59:59, 2018-10-06 20:00:00, 5801, 0.151
2018-10-06 20:00:00, 2018-10-06 20:59:59, 2018-10-06 21:00:00, 5890, 0.147
2018-10-06 21:00:00, 2018-10-06 21:59:59, 2018-10-06 22:00:00, 5681, 0.171
2018-10-06 22:00:00, 2018-10-06 22:59:57, 2018-10-06 23:00:00, 5046, 0.135
2018-10-06 23:00:00, 2018-10-06 23:59:59, 2018-10-07 00:00:00, 4581, 0.147
2018-10-07 00:00:00, 2018-10-07 00:59:59, 2018-10-07 01:00:00, 4801, 0.146
2018-10-07 01:00:00, 2018-10-07 01:59:59, 2018-10-07 02:00:00, 4777, 0.145
2018-10-07 02:00:00, 2018-10-07 02:59:59, 2018-10-07 03:00:00, 4795, 0.155
2018-10-07 03:00:00, 2018-10-07 03:59:59, 2018-10-07 04:00:00, 5389, 0.148
2018-10-07 04:00:00, 2018-10-07 04:59:59, 2018-10-07 05:00:00, 4857, 0.167
2018-10-07 05:00:00, 2018-10-07 05:59:59, 2018-10-07 06:00:00, 4808, 0.176
2018-10-07 06:00:00, 2018-10-07 06:59:59, 2018-10-07 07:00:00, 5358, 0.193
